trial,dataset,rank,node_id,label,diagnosis_type,total_score,total_percentile,adhesion_score,adhesion_percentile,context_score,context_percentile,context_contribution,adhesion_raw,context_raw_js,dominant_community,dominant_prob,dominant_community_soft_share,dominant_community_anomaly_rate,dominant_community_lift,neighbor_dominant_prob,assignment_entropy_norm,closest_prototype,distance_to_dominant_prototype,distance_to_dominant_percentile,distance_to_closest_prototype,top_communities,neighbor_top_communities,explanation
0,weibo,1,2109,1,locally coherent prototype outlier,31.38081932067871,1.0,31.37903594970703,1.0,0.0891941711306572,0.8679200380771062,0.0017838834319263697,20744.25,0.028846263885498047,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.9434922933578491,0.0,8,144.0286429846508,1.0,144.0286429846508,C8:1.000; C35:0.000; C33:0.000,C8:0.943; C20:0.002; C18:0.002,"#1 node 2109 (labeled anomaly) is a locally coherent prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 144.03, at the 100.0% percentile among nodes. Its neighbors mostly agree with C8 (94.3% neighbor mass), so the alert is mainly a within-community residual outlier. Adhesion percentile=100.0%; context percentile=86.8%; beta-weighted context contribution=0.002; assignment entropy=0.000."
0,weibo,2,1454,1,high-risk community prototype outlier,27.26923370361328,0.9998810090433127,27.173011779785156,0.9998810090433127,4.811110973358154,0.9879819133745835,0.09622221440076828,17972.47265625,0.3832567036151886,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.4140356183052063,0.0,8,134.06145104484733,0.9998810090433127,134.06145104484733,C8:1.000; C35:0.000; C33:0.000,C8:0.414; C29:0.027; C20:0.022,"#2 node 1454 (labeled anomaly) is a high-risk community prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 134.06, at the 100.0% percentile among nodes. Its neighbors only partially support C8 (41.4% neighbor mass; C8:0.414; C29:0.027; C20:0.022), adding a moderate context-mismatch signal. Adhesion percentile=100.0%; context percentile=98.8%; beta-weighted context contribution=0.096; assignment entropy=0.000."
0,weibo,3,3947,1,locally coherent prototype outlier,26.49294090270996,0.9997620180866255,26.461471557617188,0.9997620180866255,1.573496699333191,0.9543074726320799,0.031469933688640594,17503.56640625,0.14025276899337769,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.7461982369422913,0.0,8,132.30104461511254,0.9997620180866255,132.30104461511254,C8:1.000; C35:0.000; C33:0.000,C8:0.746; C28:0.016; C30:0.009,"#3 node 3947 (labeled anomaly) is a locally coherent prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 132.30, at the 100.0% percentile among nodes. Its neighbors mostly agree with C8 (74.6% neighbor mass), so the alert is mainly a within-community residual outlier. Adhesion percentile=100.0%; context percentile=95.4%; beta-weighted context contribution=0.031; assignment entropy=0.000."
0,weibo,4,3706,1,high-risk community prototype outlier,24.392353057861328,0.9996430271299381,24.283870697021484,0.9996430271299381,5.424072742462158,0.9896477867682056,0.10848145186901093,16068.5234375,0.4292634427547455,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.3639505207538605,0.0,8,126.76167968869773,0.9996430271299381,126.76167968869773,C8:1.000; C35:0.000; C33:0.000,C8:0.364; C29:0.051; C20:0.023,"#4 node 3706 (labeled anomaly) is a high-risk community prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 126.76, at the 100.0% percentile among nodes. Its neighbors only partially support C8 (36.4% neighbor mass; C8:0.364; C29:0.051; C20:0.023), adding a moderate context-mismatch signal. Adhesion percentile=100.0%; context percentile=99.0%; beta-weighted context contribution=0.108; assignment entropy=0.000."
0,weibo,5,6817,1,high-risk community prototype outlier,24.107192993164062,0.9995240361732508,24.01287269592285,0.9995240361732508,4.715972900390625,0.9873869585911471,0.09431945532560349,15889.935546875,0.37611594796180725,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.422140508890152,0.0,8,126.0552876593243,0.9995240361732508,126.0552876593243,C8:1.000; C35:0.000; C33:0.000,C8:0.422; C18:0.025; C5:0.021,"#5 node 6817 (labeled anomaly) is a high-risk community prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 126.06, at the 100.0% percentile among nodes. Its neighbors only partially support C8 (42.2% neighbor mass; C8:0.422; C18:0.025; C5:0.021), adding a moderate context-mismatch signal. Adhesion percentile=100.0%; context percentile=98.7%; beta-weighted context contribution=0.094; assignment entropy=0.000."
0,weibo,6,7295,1,prototype-assignment tension,19.488849639892578,0.9994050452165636,19.2985897064209,0.9994050452165636,9.512960433959961,0.9988100904331271,0.1902592033147812,12783.21484375,0.7361608743667603,31,0.4788750112056732,0.024079354925569788,0.06898737227575583,0.6680171090827797,0.022889968007802963,0.32799194253784975,29,113.02595802513686,0.9994050452165636,112.76504368874691,C31:0.479; C23:0.278; C29:0.193,C8:0.093; C1:0.074; C29:0.039,"#6 node 7295 (labeled anomaly) is a prototype-assignment tension. It assigns to C31 with p=0.479. C31 is low-risk (soft share 2.4%, anomaly rate 6.9%, lift 0.67x). The closest prototype is C29 (distance 112.77), but the soft assignment favors C31; this assignment/prototype tension makes the case more diagnostic. Its neighborhood distribution is different from its own assignment (2.3% neighbor mass on C31; C8:0.093; C1:0.074; C29:0.039), which is a strong context-break signal. Adhesion percentile=99.9%; context percentile=99.9%; beta-weighted context contribution=0.190; assignment entropy=0.328."
0,weibo,7,5168,1,high-risk community prototype outlier,18.75154685974121,0.9992860542598763,18.70109748840332,0.9992860542598763,2.5224428176879883,0.972275107091861,0.05044885352253914,12389.4658203125,0.21147732436656952,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.6359685063362122,0.0,8,111.30797734355117,0.9992860542598763,111.30797734355117,C8:1.000; C35:0.000; C33:0.000,C8:0.636; C27:0.036; C29:0.030,"#7 node 5168 (labeled anomaly) is a high-risk community prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 111.31, at the 99.9% percentile among nodes. Its neighbors only partially support C8 (63.6% neighbor mass; C8:0.636; C27:0.036; C29:0.030), adding a moderate context-mismatch signal. Adhesion percentile=99.9%; context percentile=97.2%; beta-weighted context contribution=0.050; assignment entropy=0.000."
0,weibo,8,7575,0,high-risk community prototype outlier,18.47346305847168,0.9991670633031889,18.34800148010254,0.9991670633031889,6.273049354553223,0.9925035697287006,0.12546098232269287,12156.7744140625,0.4929846227169037,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.30041399598121643,1.84032109431843e-25,8,110.25776350925362,0.9991670633031889,110.25776350925362,C8:1.000; C29:0.000; C1:0.000,C8:0.300; C1:0.040; C0:0.038,"#8 node 7575 (label=0) is a high-risk community prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 110.26, at the 99.9% percentile among nodes. Its neighborhood distribution is different from its own assignment (30.0% neighbor mass on C8; C8:0.300; C1:0.040; C0:0.038), which is a strong context-break signal. Adhesion percentile=99.9%; context percentile=99.3%; beta-weighted context contribution=0.125; assignment entropy=0.000."
0,weibo,9,2696,1,neighborhood context break,18.42369270324707,0.9990480723465016,18.17648696899414,0.9990480723465016,12.360302925109863,0.9998810090433127,0.24720604717731476,12043.7470703125,0.9498723745346069,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.012988662347197533,5.4435633330553784e-42,8,109.74400699041611,0.9990480723465016,109.74400699041611,C8:1.000; C14:0.000; C29:0.000,C24:0.082; C9:0.078; C11:0.072,"#9 node 2696 (labeled anomaly) is a neighborhood context break. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 109.74, at the 99.9% percentile among nodes. Its neighborhood distribution is different from its own assignment (1.3% neighbor mass on C8; C24:0.082; C9:0.078; C11:0.072), which is a strong context-break signal. Adhesion percentile=99.9%; context percentile=100.0%; beta-weighted context contribution=0.247; assignment entropy=0.000."
0,weibo,10,4704,1,neighborhood context break,17.960424423217773,0.9989290813898144,17.74941635131836,0.9989290813898144,10.550393104553223,0.9995240361732508,0.21100786328315735,11762.3056640625,0.8140268921852112,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.06973252445459366,3.875904033896588e-15,8,108.45416388531378,0.9989290813898144,108.45416388531378,C8:1.000; C31:0.000; C27:0.000,C8:0.070; C27:0.040; C2:0.030,"#10 node 4704 (labeled anomaly) is a neighborhood context break. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 108.45, at the 99.9% percentile among nodes. Its neighborhood distribution is different from its own assignment (7.0% neighbor mass on C8; C8:0.070; C27:0.040; C2:0.030), which is a strong context-break signal. Adhesion percentile=99.9%; context percentile=100.0%; beta-weighted context contribution=0.211; assignment entropy=0.000."
0,weibo,11,6574,1,locally coherent prototype outlier,16.082921981811523,0.9988100904331271,16.035890579223633,0.9988100904331271,2.3516006469726562,0.9695383150880533,0.04703201353549957,10633.08984375,0.19865451753139496,8,1.0,0.1525310600321609,0.2366125272879741,2.2911615740324422,0.654963493347168,0.0,8,103.11687467989903,0.9988100904331271,103.11687467989903,C8:1.000; C35:0.000; C33:0.000,C8:0.655; C0:0.026; C20:0.012,"#11 node 6574 (labeled anomaly) is a locally coherent prototype outlier. It assigns to C8 with p=1.000. C8 is high-risk (soft share 15.3%, anomaly rate 23.7%, lift 2.29x). Its distance to the assigned prototype is 103.12, at the 99.9% percentile among nodes. Its neighbors only partially support C8 (65.5% neighbor mass; C8:0.655; C0:0.026; C20:0.012), adding a moderate context-mismatch signal. Adhesion percentile=99.9%; context percentile=97.0%; beta-weighted context contribution=0.047; assignment entropy=0.000."
