method,supervised,evaluation_population,domain,dataset_count,seed_count,auroc_mean,auroc_std,auprc_mean,auprc_std
GCN,True,stratified_test_40pct,Citation,4,3,0.7838634136805229,0.003948798591337061,0.3600840576532216,0.017798110632335395
GCN,True,stratified_test_40pct,Social,5,3,0.8371628019838918,0.013284695580466806,0.5641565845950907,0.006146320931790977
GCN,True,stratified_test_40pct,Q&A,1,3,0.7379447755558042,0.012217497767053585,0.15271582479482906,0.008849424538257582
GCN,True,stratified_test_40pct,E-commerce,2,3,0.8618930990619167,0.003488709437395895,0.36269815173004183,0.005942914217132912
GAT,True,stratified_test_40pct,Citation,4,3,0.8224377582429945,0.018344893899019964,0.3866579918406992,0.04713973384040039
GAT,True,stratified_test_40pct,Social,5,3,0.8364317318573447,0.006416331211678528,0.5178396940360608,0.0516247233583567
GAT,True,stratified_test_40pct,Q&A,1,3,0.7286307803685438,0.0021504235142291543,0.13572771540576445,0.004958572079528757
GAT,True,stratified_test_40pct,E-commerce,2,3,0.8848347032134427,0.0085396906017763,0.46438399789476154,0.06260283170590589
BWGNN,True,stratified_test_40pct,Citation,4,3,0.6508728204316502,0.03322319888322947,0.1541690096329644,0.02624544930675717
BWGNN,True,stratified_test_40pct,Social,5,3,0.7458625061435359,0.007819266305726161,0.3064399242648515,0.004073913081377953
BWGNN,True,stratified_test_40pct,Q&A,1,3,0.7549024975256842,0.011317469557680792,0.19745890065832836,0.023789305675232804
BWGNN,True,stratified_test_40pct,E-commerce,2,3,0.9188235719951022,0.003859022833956276,0.6080775975729608,0.016812723600490298
XGBGraph,True,stratified_test_40pct,Citation,4,3,0.8983923296142171,0.0059002079219238395,0.6683668564783926,0.016917300115426963
XGBGraph,True,stratified_test_40pct,Social,5,3,0.8863078245115906,0.006241821360527594,0.6116635902312881,0.029219506325561206
XGBGraph,True,stratified_test_40pct,Q&A,1,3,0.7373052716456034,0.004585058856540801,0.2032647172002592,0.011310633553380144
XGBGraph,True,stratified_test_40pct,E-commerce,2,3,0.9492003348129933,0.003436601083646452,0.7513372904884109,0.00703437812644082
DOMINANT,False,full_graph,Citation,4,3,0.7168515463607231,0.00011660763993335573,0.19666062990115496,0.00016314246774447872
DOMINANT,False,full_graph,Social,5,3,0.4226058298903796,0.003282700519098085,0.052769340498234875,0.00032873163753224175
DOMINANT,False,full_graph,Q&A,1,3,0.561302695152059,0.002709820579853202,0.04800462249900047,0.00020287862477767342
DOMINANT,False,full_graph,E-commerce,2,3,0.4284012549466718,0.0046271666175469696,0.07489740128700674,0.00011015862767509988
AnomalyDAE,False,full_graph,Citation,4,3,0.7210319617795043,0.0011733931650581451,0.19125933789923652,0.0010398312094851991
AnomalyDAE,False,full_graph,Social,5,3,0.47222126622912564,0.0030559511937159993,0.05169414230992272,0.0007626392517469174
AnomalyDAE,False,full_graph,Q&A,1,3,0.6518044640160694,0.014374737912636019,0.06465281693771131,0.0007950461875223947
AnomalyDAE,False,full_graph,E-commerce,2,3,0.4257674606373179,0.020853724485969335,0.05403112632242201,0.0029262999944775214
CoLA,False,full_graph,Citation,4,3,0.6777605002188464,0.005346564693041003,0.19790284998463667,0.005502668844024409
CoLA,False,full_graph,Social,5,3,0.4844447100234677,0.0020325630518817483,0.0960272825094985,0.004338633483502245
CoLA,False,full_graph,Q&A,1,3,0.42962006584786416,0.003352197490526058,0.023826697803496295,0.0001834016107519171
CoLA,False,full_graph,E-commerce,2,3,0.48032175983497805,0.007215927794046793,0.06505516946723024,0.001240308812205349
ADA-GAD,False,full_graph,Citation,4,3,0.6756641334208734,0.0019819946469164674,0.07276280284081454,0.00032965770553684625
ADA-GAD,False,full_graph,Social,5,3,0.5553562792016787,0.007759837844478989,0.08532560856716391,0.0019167230276046384
ADA-GAD,False,full_graph,Q&A,1,3,0.48055000505582135,0.018121354106206827,0.03341540959417894,0.0028957789687225855
ADA-GAD,False,full_graph,E-commerce,2,3,0.47449062000865183,0.029755558468775787,0.05475880500802507,0.003453412554262644
