setting,method,aggregation,dataset_count,seed_count,auroc_mean,auroc_std,auprc_mean,auprc_std
A,ARC,dataset_macro,8,3,0.7868803327028276,0.00025223516099299613,0.36488783451526857,0.006943112912495624
A,AnomalyGFM-ZS,dataset_macro,8,3,0.530715190204781,0.002975613003624688,0.08024087481989946,0.0052769491168611895
A,IA-GGAD,dataset_macro,8,3,0.772230965468211,0.011596008579387631,0.3550994875422786,0.02122650519176312
A,RECAP,dataset_macro,8,3,0.7465154223560516,0.002293390649875609,0.2704448673033078,0.0034284699137269586
A,UNPrompt,dataset_macro,8,3,0.5802440567562953,0.014062327680322872,0.10224854037248966,0.01424193244711237
B,ARC,dataset_macro,5,3,0.7275785175084287,0.0023270515346297785,0.29492393939490563,0.002536355742265096
B,AnomalyGFM-ZS,dataset_macro,5,3,0.4963893375845041,0.022169713708548432,0.08434913337121719,0.00611301564567549
B,IA-GGAD,dataset_macro,5,3,0.7284327674680018,0.006910507779951327,0.30737789732922255,0.0022326102207513767
B,RECAP,dataset_macro,5,3,0.6774504734814718,0.0021823793817379016,0.2197561249778864,0.00318492729459628
B,UNPrompt,dataset_macro,5,3,0.5791631288931144,0.021326593456518834,0.11688021274554206,0.012088471359521862
C,ARC,dataset_macro,5,3,0.661750905130042,0.0073506403980702064,0.18857405703478558,0.004701963639625303
C,ARC,domain_macro,5,3,0.6408636636968117,0.010591765304385,0.13820630474871118,0.007398604787816478
C,AnomalyGFM-ZS,dataset_macro,5,3,0.5103329031047455,0.00787042423489214,0.05567948579723577,0.0011696780030886382
C,AnomalyGFM-ZS,domain_macro,5,3,0.5073612928465299,0.013342118033959845,0.05244388040646816,0.002195534854693984
C,IA-GGAD,dataset_macro,5,3,0.6303469055881418,0.004414822527767762,0.17738078613897876,0.001598792055190856
C,IA-GGAD,domain_macro,5,3,0.6049140781489492,0.002240104204306115,0.12498123139795331,0.0010043150181773645
C,RECAP,dataset_macro,5,3,0.6731004716023836,0.0043218807398381544,0.1750072322969464,0.0009240562194644741
C,RECAP,domain_macro,5,3,0.6710907796946127,0.005125602687267211,0.1357800433417987,0.0007913048847693427
C,UNPrompt,dataset_macro,5,3,0.5924514756987377,0.014925766462519387,0.11369114555764455,0.004123778008469568
C,UNPrompt,domain_macro,5,3,0.5664354480024739,0.026447199200596367,0.09480899377137582,0.009030685791311211
