setting,seed_a,seed_b,dataset_count,nmi,ari,soft_coassignment_similarity,score_spearman
OFO,0,1,12,0.36278453229966257,0.39185383863797285,0.6357185485585323,0.891294457707401
OFO,0,2,12,0.38189663617541786,0.42927887559204386,0.6484579413294995,0.898830865190892
OFO,1,2,12,0.37261591234480207,0.42424263895222264,0.6659612420876699,0.9064612016475911
A,0,1,8,0.2240535278567844,0.26393307798979243,0.48726410782479285,0.8603469678916149
A,0,2,8,0.31361114171697524,0.48955866001009185,0.6771371579620402,0.9034322822525787
A,1,2,8,0.256875834873344,0.33737119948672667,0.5624069943433188,0.8697182362386757
B,0,1,5,0.16549763744052776,0.208558324916822,0.5658801021467171,0.7274355379675711
B,0,2,5,0.17834489152452798,0.3355285148305217,0.6259409939564337,0.7358162508584788
B,1,2,5,0.17257879524215441,0.22818608556491182,0.5278420952034901,0.7417551569071502
C,0,1,5,0.06867555339653686,-0.03842070051239588,0.27474894591176247,0.6606889739305958
C,0,2,5,0.11544731975912384,0.18158076062505107,0.4421976751862486,0.6852382498528125
C,1,2,5,0.09037002353578974,-0.0017590693032717062,0.27618356421112195,0.6418658490737696
