setting,seed,source_graph_count,target_graph_count,data_prepare_seconds,train_seconds,diagnostic_seconds,inference_per_target_seconds
OFO,0,1,12,0.3556519091750185,4.0161021916816635,0.12973306995506087,0.019823796581476927
OFO,1,1,12,0.14378207394232353,3.9895547937291362,0.13111630377049246,0.01995973940938711
OFO,2,1,12,0.1490141872006158,3.9764039021295807,0.1285413831161956,0.019682082037130993
A,0,4,8,0.9121536053717136,26.208957059308887,0.7188913654536009,0.019486282719299197
A,1,4,8,0.8167184349149466,25.884008737280965,0.6913312487304211,0.012623315444216132
A,2,4,8,0.777930686250329,25.66070111654699,0.6847052685916424,0.012524196179583669
B,0,4,5,0.6524624209851027,24.78310902416706,0.6591960359364748,0.012043756246566773
B,1,4,5,0.6194950453937054,24.5716897752136,0.656443340703845,0.01153653971850872
B,2,4,5,0.6561494842171669,24.692986473441124,0.6949614621698856,0.012630937248468399
C,0,4,5,0.6453968826681376,11.795140134170651,0.3316849283874035,0.08052147813141346
C,1,4,5,0.6226140838116407,11.553943533450365,0.3185193482786417,0.029193100705742835
C,2,4,5,0.6614534202963114,11.625797294080257,0.32078499160706997,0.029077087342739106
