run_id,stage,knn_k,num_clusters,num_hops,tau_s,tau_c,cluster_init_gain,beta,lambda_H,lambda_bal,lambda_E,lambda_usage_entropy,assignment_entropy_lower,assignment_entropy_upper,usage_entropy_lower,usage_entropy_upper,overrides
baseline,baseline,20,28,4,0.05,0.3,2.0,0.02,0.35,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph__k24__C36__L3,graph_anchor,24,36,3,0.05,0.3,2.0,0.02,0.35,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 24, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 36, ""num_hops"": 3, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph__k16__C28__L4,graph_anchor,16,28,4,0.05,0.3,2.0,0.02,0.35,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 16, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
graph__k20__C36__L3,graph_anchor,20,36,3,0.05,0.3,2.0,0.02,0.35,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 36, ""num_hops"": 3, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
comm__soft_break,community_profile,20,28,4,0.05,0.3,1.5,0.02,0.35,0.0,0.1,0.35,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 1.5, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.35, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
comm__gain2_lH025,community_profile,20,28,4,0.05,0.3,2.0,0.02,0.25,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.25, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
comm__gain2_lH05,community_profile,20,28,4,0.05,0.3,2.0,0.02,0.5,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.5, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
comm__gain25_lH035,community_profile,20,28,4,0.05,0.3,2.5,0.02,0.35,0.0,0.1,0.5,0.45,0.85,0.65,0.9,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.5, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.5, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
comm__gain2_loose_usage,community_profile,20,28,4,0.05,0.3,2.0,0.02,0.35,0.0,0.1,0.25,0.45,0.85,0.6,0.92,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.6, ""usage_entropy_upper"": 0.92}"
comm__gain2_strict_usage,community_profile,20,28,4,0.05,0.3,2.0,0.02,0.35,0.0,0.1,0.75,0.45,0.85,0.72,0.92,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.75, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.72, ""usage_entropy_upper"": 0.92}"
