rank,run_id,stage,selection_score,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials,num_diag_trials,H_ent_norm_mean,H_ent_norm_std,H_maxp_mean,H_maxp_std,pi_ent_norm_mean,pi_ent_norm_std,pi_std_mean,pi_std_std,effC_mean,effC_std,Lvar_mean,Lvar_std,Lvar_active_mean,Lvar_active_std,scale_adh_std_mean,scale_adh_std_std,overrides
1,perf__light_lH01_lU01,regularization_profile,0.996754556089398,0.7345521704503041,0.004025409310798833,0.262202385639094,0.003890170878259099,3,3,0.6029,0.00388930156540567,0.47223333333333334,0.007372169890126596,0.8180333333333333,0.016044590642608794,0.052895,0.0033378019713577968,16.226666666666667,0.736040457825217,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 1.5, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.1, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
2,perf__mid_lH035_lU025,regularization_profile,0.9962977209787938,0.7350130608348312,0.0022295937860585587,0.2612846601439626,0.001703121229773462,3,3,0.5621,0.02538280257707308,0.48956666666666665,0.04033314049540678,0.7908,0.029698933763128044,0.062411666666666664,0.00960922002847034,14.436666666666667,1.5959601777265273,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
3,tau_perf__tau0p12,tau_perf,0.9962734383501224,0.7354053117624227,0.0031030205499353114,0.2608681265876996,0.0028300190973002035,3,3,0.5917,0.011203868379567244,0.4656666666666667,0.005703994701571483,0.8361666666666666,0.02957716837171689,0.050926,0.009058285304993804,17.033333333333335,1.3585858660959025,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.12, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
4,epoch__e80,epoch_budget,0.9957535122603391,0.7344184188737545,0.003238924516151432,0.26133509338658467,0.001975256984304752,3,3,0.6021666666666667,0.012053860607936189,0.4572333333333333,0.00865268102317941,0.8517666666666667,0.02861903018777695,0.04629433333333333,0.008333941537805237,17.843333333333334,1.417376292857883,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 80, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
5,tau_perf__tau0p1,tau_perf,0.9955319814141148,0.7354933798111535,0.003288548134962941,0.2600386016029614,0.00264399268185554,3,3,0.5940333333333333,0.01059853239316125,0.4626333333333334,0.0037747700445045673,0.8404666666666666,0.02961714968655082,0.04966633333333333,0.00938166731213357,17.246666666666666,1.4124525557420404,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.1, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
6,perf__gain25_lH02_lU025,regularization_profile,0.9951602640702754,0.733909794560973,0.005020553034064238,0.2612504695093023,0.002947071510531519,3,3,0.5290333333333334,0.05309672515534475,0.5359,0.059639304713139205,0.7421333333333333,0.06333699989386579,0.07578666666666667,0.01512610261178411,12.563333333333333,2.9626264623734726,1e-06,1.4142135623730954e-06,0.00013333333333333334,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.5, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
7,tau_perf__tau0p05,tau_perf,0.9947771232270815,0.7352704179919067,0.0015792789170349308,0.25950670523517466,0.00659315096907954,3,3,0.5457333333333333,0.029939642987554523,0.5179666666666667,0.04349868452672514,0.7676999999999999,0.036811501825742825,0.06801466666666667,0.010125425730418558,13.450000000000001,1.8045682770864244,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.05, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
8,perf__hard_assign_lH02,regularization_profile,0.994306070248459,0.7351016211162057,0.0017337932065905023,0.2592044491322532,0.0018615392909156548,3,3,0.45913333333333334,0.030373270412577483,0.6080666666666666,0.03676631912800386,0.726,0.04777202807780579,0.07104066666666667,0.009798612906370414,11.596666666666666,1.7645836776859172,1e-06,1.4142135623730954e-06,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.35, ""assignment_entropy_upper"": 0.8, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
9,graph_perf__k16__C28__L4,graph_perf,0.9937936066324796,0.7342902973848945,0.0028835328167571713,0.25950330924758513,0.003304198070632528,3,3,0.5949,0.010185283501208973,0.461,0.004724404724407071,0.8422999999999999,0.030792639813219426,0.049264333333333334,0.009765186816213786,17.343333333333334,1.4817182218252187,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 16, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
10,baseline_perf_v2,baseline,0.9923700079492774,0.7334175983144423,0.004902031715552444,0.25895240963483507,0.0023444782851810425,3,3,0.5952000000000001,0.010947450235861633,0.46046666666666664,0.0045828181528642644,0.8398,0.027034175901378386,0.049931333333333335,0.008139844606761376,17.19333333333333,1.2959509592916272,6.666666666666666e-07,9.428090415820633e-07,6.666666666666667e-05,9.428090415820634e-05,1.0,0.0,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
