run_id,stage,knn_k,num_clusters,num_hops,tau_s,tau_c,cluster_init_gain,beta,lambda_H,lambda_bal,lambda_E,lambda_usage_entropy,assignment_entropy_lower,assignment_entropy_upper,usage_entropy_lower,usage_entropy_upper,epochs,overrides
baseline_perf_v2,baseline,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
epoch__e80,epoch_budget,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,80,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 80, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
epoch__e120,epoch_budget,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,120,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 120, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
epoch__e150,epoch_budget,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,150,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 150, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
perf__light_lH01_lU01,regularization_profile,20,28,4,0.08,0.3,1.5,0.02,0.1,0.0,0.1,0.1,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 1.5, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.1, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
perf__light_lH02_lU01,regularization_profile,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.1,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.1, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
perf__mid_lH035_lU025,regularization_profile,20,28,4,0.08,0.3,2.0,0.02,0.35,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.35, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
perf__gain25_lH02_lU025,regularization_profile,20,28,4,0.08,0.3,2.5,0.02,0.2,0.0,0.1,0.25,0.45,0.85,0.65,0.9,100,"{""assignment_entropy_lower"": 0.45, ""assignment_entropy_upper"": 0.85, ""beta"": 0.02, ""cluster_init_gain"": 2.5, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
perf__soft_assign_lH02,regularization_profile,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.55,0.9,0.65,0.9,100,"{""assignment_entropy_lower"": 0.55, ""assignment_entropy_upper"": 0.9, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
perf__hard_assign_lH02,regularization_profile,20,28,4,0.08,0.3,2.0,0.02,0.2,0.0,0.1,0.25,0.35,0.8,0.65,0.9,100,"{""assignment_entropy_lower"": 0.35, ""assignment_entropy_upper"": 0.8, ""beta"": 0.02, ""cluster_init_gain"": 2.0, ""epochs"": 100, ""knn_k"": 20, ""lambda_E"": 0.1, ""lambda_H"": 0.2, ""lambda_bal"": 0.0, ""lambda_usage_entropy"": 0.25, ""num_clusters"": 28, ""num_hops"": 4, ""tau_c"": 0.3, ""tau_s"": 0.08, ""usage_entropy_lower"": 0.65, ""usage_entropy_upper"": 0.9}"
