run_id,diagnostic_points,max_lvar,mean_lvar,max_lvar_active,mean_lvar_active,log_path
baseline,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/baseline.log
beta__0,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0.log
beta__0p005,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p005.log
beta__0p01,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p01.log
beta__0p015,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p015.log
beta__0p03,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p03.log
beta__0p04,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p04.log
beta__0p05,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p05.log
beta__0p08,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p08.log
beta__0p12,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/beta__0p12.log
cluster_init_gain__0p8,33,2e-06,6.06060606060606e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/cluster_init_gain__0p8.log
cluster_init_gain__1p0,33,2e-06,6.363636363636363e-07,0.0002,6.666666666666667e-05,/autodl-fs/data/recap/tuning_hyperparams/sensitivity_results/sensitivity_default_v2/logs/cluster_init_gain__1p0.log
