run_id,kind,param,value
baseline,baseline,baseline,baseline
beta__0,sensitivity,beta,0
beta__0p005,sensitivity,beta,0.005
beta__0p01,sensitivity,beta,0.01
beta__0p015,sensitivity,beta,0.015
beta__0p03,sensitivity,beta,0.03
beta__0p04,sensitivity,beta,0.04
beta__0p05,sensitivity,beta,0.05
beta__0p08,sensitivity,beta,0.08
beta__0p12,sensitivity,beta,0.12
lambda_H__0,sensitivity,lambda_H,0
lambda_H__0p025,sensitivity,lambda_H,0.025
lambda_H__0p05,sensitivity,lambda_H,0.05
lambda_H__0p075,sensitivity,lambda_H,0.075
lambda_H__0p15,sensitivity,lambda_H,0.15
lambda_H__0p2,sensitivity,lambda_H,0.2
lambda_H__0p3,sensitivity,lambda_H,0.3
lambda_H__0p5,sensitivity,lambda_H,0.5
lambda_H__0p8,sensitivity,lambda_H,0.8
cluster_init_gain__0p8,sensitivity,cluster_init_gain,0.8
cluster_init_gain__1p0,sensitivity,cluster_init_gain,1.0
cluster_init_gain__1p25,sensitivity,cluster_init_gain,1.25
cluster_init_gain__1p75,sensitivity,cluster_init_gain,1.75
cluster_init_gain__2p0,sensitivity,cluster_init_gain,2.0
cluster_init_gain__2p25,sensitivity,cluster_init_gain,2.25
cluster_init_gain__2p5,sensitivity,cluster_init_gain,2.5
cluster_init_gain__3p0,sensitivity,cluster_init_gain,3.0
cluster_init_gain__3p5,sensitivity,cluster_init_gain,3.5
tau_c__0p22,sensitivity,tau_c,0.22
tau_c__0p25,sensitivity,tau_c,0.25
tau_c__0p28,sensitivity,tau_c,0.28
tau_c__0p32,sensitivity,tau_c,0.32
tau_c__0p35,sensitivity,tau_c,0.35
tau_c__0p38,sensitivity,tau_c,0.38
tau_c__0p42,sensitivity,tau_c,0.42
tau_c__0p5,sensitivity,tau_c,0.5
tau_c__0p65,sensitivity,tau_c,0.65
tau_s__0p03,sensitivity,tau_s,0.03
tau_s__0p05,sensitivity,tau_s,0.05
tau_s__0p06,sensitivity,tau_s,0.06
tau_s__0p1,sensitivity,tau_s,0.1
tau_s__0p12,sensitivity,tau_s,0.12
tau_s__0p15,sensitivity,tau_s,0.15
tau_s__0p2,sensitivity,tau_s,0.2
tau_s__0p25,sensitivity,tau_s,0.25
tau_s__0p3,sensitivity,tau_s,0.3
num_hops__1,sensitivity,num_hops,1
num_hops__2,sensitivity,num_hops,2
num_hops__3,sensitivity,num_hops,3
num_hops__5,sensitivity,num_hops,5
num_hops__6,sensitivity,num_hops,6
num_hops__8,sensitivity,num_hops,8
num_hops__10,sensitivity,num_hops,10
num_hops__12,sensitivity,num_hops,12
num_hops__14,sensitivity,num_hops,14
knn_k__8,sensitivity,knn_k,8
knn_k__12,sensitivity,knn_k,12
knn_k__16,sensitivity,knn_k,16
knn_k__18,sensitivity,knn_k,18
knn_k__22,sensitivity,knn_k,22
knn_k__24,sensitivity,knn_k,24
knn_k__28,sensitivity,knn_k,28
knn_k__32,sensitivity,knn_k,32
knn_k__40,sensitivity,knn_k,40
num_clusters__12,sensitivity,num_clusters,12
num_clusters__16,sensitivity,num_clusters,16
num_clusters__20,sensitivity,num_clusters,20
num_clusters__24,sensitivity,num_clusters,24
num_clusters__32,sensitivity,num_clusters,32
num_clusters__36,sensitivity,num_clusters,36
num_clusters__40,sensitivity,num_clusters,40
num_clusters__48,sensitivity,num_clusters,48
num_clusters__56,sensitivity,num_clusters,56
