run_id,kind,param,value,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,num_trials
baseline,baseline,baseline,baseline,0.7347275601948778,0.004547153251052439,0.26211586202442777,0.0036313722669648516,3
beta__0,sensitivity,beta,0,0.7335724890705713,0.0032421537633500292,0.2637610651259025,0.0035028681017104497,3
beta__0p005,sensitivity,beta,0.005,0.7360887666816566,0.004771414380700461,0.2647557754310526,0.004813972181744584,3
beta__0p01,sensitivity,beta,0.01,0.7353834087242818,0.005352044397135855,0.2628227256003186,0.0040472404876280565,3
beta__0p015,sensitivity,beta,0.015,0.7353927796186269,0.004157844138849667,0.2635736467119961,0.004997649039349032,3
beta__0p03,sensitivity,beta,0.03,0.7350733648018997,0.0036869579062725794,0.2618723658737638,0.003792676190103474,3
beta__0p04,sensitivity,beta,0.04,0.734705282966459,0.003957124506051878,0.26206682016920985,0.004717078718630488,3
beta__0p05,sensitivity,beta,0.05,0.7341876664736079,0.0039584560488622,0.2610680835599222,0.005447143762947186,3
beta__0p08,sensitivity,beta,0.08,0.7317677132330909,0.003963480696803867,0.25792921483519776,0.004039511427442158,3
beta__0p12,sensitivity,beta,0.12,0.7302235352717178,0.003800739026376707,0.256816108412046,0.005383143702578528,3
cluster_init_gain__0p8,sensitivity,cluster_init_gain,0.8,0.7397361676153054,0.0020061451503293444,0.26601189843929635,0.0029719630723473098,3
cluster_init_gain__1p0,sensitivity,cluster_init_gain,1.0,0.7392107807581029,0.002087949922522292,0.26517041256195223,0.003766115244311603,3
cluster_init_gain__1p25,sensitivity,cluster_init_gain,1.25,0.7376688113451554,0.0025375388027879175,0.2646602833202757,0.0035242527338237455,3
cluster_init_gain__1p75,sensitivity,cluster_init_gain,1.75,0.7334226699648787,0.0032449179717015356,0.2575194343627874,0.003214057841558711,3
cluster_init_gain__2p0,sensitivity,cluster_init_gain,2.0,0.7332157419728622,0.0031669777789331117,0.25862339160397624,0.002903299830617744,3
cluster_init_gain__2p25,sensitivity,cluster_init_gain,2.25,0.7329178801408379,0.002511595274081207,0.258349507659774,0.0017823874857266758,3
cluster_init_gain__2p5,sensitivity,cluster_init_gain,2.5,0.7331604991115289,0.0020316616306561533,0.2579516980849679,0.003154698757450966,3
cluster_init_gain__3p0,sensitivity,cluster_init_gain,3.0,0.7381524049615876,0.0033177812199349822,0.25944350771453334,0.0010410975922813576,3
cluster_init_gain__3p5,sensitivity,cluster_init_gain,3.5,0.7395861263393159,0.0028537334692267597,0.259396120119429,0.002005198187772915,3
lambda_H__0,sensitivity,lambda_H,0,0.7376860578846974,0.003833218687078585,0.262124327261931,0.0035719414729866337,3
lambda_H__0p025,sensitivity,lambda_H,0.025,0.7373149614851072,0.0035351770968982507,0.2628647189805555,0.003340565623148703,3
lambda_H__0p05,sensitivity,lambda_H,0.05,0.7366106062799074,0.003312401494185023,0.2626187671847258,0.0032124151501487365,3
lambda_H__0p075,sensitivity,lambda_H,0.075,0.7351382057352763,0.0034727606474174873,0.2625915968391718,0.003438205169570357,3
lambda_H__0p15,sensitivity,lambda_H,0.15,0.7350083675489948,0.004515034930058541,0.2609933458870885,0.004064628638479016,3
lambda_H__0p2,sensitivity,lambda_H,0.2,0.7369158512946935,0.004535432215845373,0.2607030625469955,0.0050087925164002105,3
lambda_H__0p3,sensitivity,lambda_H,0.3,0.7389315558862499,0.004173463869976176,0.2613288910517095,0.0030795484104513783,3
lambda_H__0p5,sensitivity,lambda_H,0.5,0.7379727968784898,0.002080599813256266,0.26160930274249017,0.0036607903960868098,3
lambda_H__0p8,sensitivity,lambda_H,0.8,0.7400143936969767,0.002533951744116021,0.262572344475729,0.0034750163168032907,3
lambda_usage_entropy__0,sensitivity,lambda_usage_entropy,0,0.7368600268316924,0.003759998382704571,0.2635241738616559,0.0038022164712350477,3
lambda_usage_entropy__0p025,sensitivity,lambda_usage_entropy,0.025,0.7353674010743347,0.002888538648491979,0.2631274739704372,0.004349930418968318,3
lambda_usage_entropy__0p05,sensitivity,lambda_usage_entropy,0.05,0.7367374207023688,0.0025890910707063617,0.26300757620665366,0.003054650128402774,3
lambda_usage_entropy__0p075,sensitivity,lambda_usage_entropy,0.075,0.7360459920180048,0.0037924076153326718,0.26359691506682453,0.0031469764689559623,3
lambda_usage_entropy__0p15,sensitivity,lambda_usage_entropy,0.15,0.7363834654810403,0.0024707977894163112,0.2636374408950094,0.0035741033184848625,3
lambda_usage_entropy__0p2,sensitivity,lambda_usage_entropy,0.2,0.7361573335469408,0.00270392490395288,0.26352553770823106,0.004232909319558283,3
lambda_usage_entropy__0p3,sensitivity,lambda_usage_entropy,0.3,0.7368747477004233,0.0031671568470795115,0.26337824823157874,0.003376960797020599,3
lambda_usage_entropy__0p5,sensitivity,lambda_usage_entropy,0.5,0.7352062869388664,0.004145907469205537,0.2614398906257945,0.005595824269678822,3
lambda_usage_entropy__0p8,sensitivity,lambda_usage_entropy,0.8,0.7357384531532246,0.0030338341696741675,0.2608680075149798,0.005284975920010892,3
num_hops__1,sensitivity,num_hops,1,0.7254628144575529,0.0033998684844951444,0.22496261181050006,0.0025716510050151765,3
num_hops__10,sensitivity,num_hops,10,0.7268041886714873,0.001979113395082369,0.24603244820022774,0.0036961516574996155,3
num_hops__12,sensitivity,num_hops,12,0.7255786283080031,0.004175777624672761,0.25033969482014035,0.0033515431011894785,3
num_hops__14,sensitivity,num_hops,14,0.7263050191204578,0.001698111689499547,0.24285150478813666,0.006207960522392641,3
num_hops__2,sensitivity,num_hops,2,0.7263509857498752,0.0018190826033379413,0.24642743230829459,0.004571948250657866,3
num_hops__3,sensitivity,num_hops,3,0.7367651506989595,0.004947860342458826,0.2571281654600102,0.0025111926717020718,3
num_hops__5,sensitivity,num_hops,5,0.7358091154532471,0.0037512973459439738,0.2573059108561827,0.0035593143287455443,3
num_hops__6,sensitivity,num_hops,6,0.7340863086515869,0.0007475135820518867,0.25607517552000303,0.0002217479836302904,3
num_hops__8,sensitivity,num_hops,8,0.7326601716862577,0.0024184320665926614,0.25218841568892353,0.006113322767238758,3
tau_c__0p22,sensitivity,tau_c,0.22,0.7356702914698818,0.002977636209750002,0.25877886044185466,0.003336376150733848,3
tau_c__0p25,sensitivity,tau_c,0.25,0.7336810949037106,0.0018018082091789498,0.2579401270825877,0.004044757000664445,3
tau_c__0p28,sensitivity,tau_c,0.28,0.7344879296011801,0.002797469659653479,0.2594417903038575,0.002776536649569769,3
tau_c__0p32,sensitivity,tau_c,0.32,0.7412131707524493,0.0017579263000123138,0.2628104955075621,0.003529149851223947,3
tau_c__0p35,sensitivity,tau_c,0.35,0.7399885766301725,0.003193873134687465,0.2641277801039872,0.004367616648137478,3
tau_c__0p38,sensitivity,tau_c,0.38,0.735935550375583,0.005471518320664541,0.26376315271964007,0.0055252852517926705,3
tau_c__0p42,sensitivity,tau_c,0.42,0.7362911187428606,0.0038191711833347568,0.2639357418543416,0.003474154755529705,3
tau_c__0p5,sensitivity,tau_c,0.5,0.7389236449727746,0.0027295707671346602,0.2652792949943346,0.0034221897720877266,3
tau_c__0p65,sensitivity,tau_c,0.65,0.7398453969126403,0.0011684999228351728,0.2643236780701474,0.0025687090359398927,3
tau_s__0p03,sensitivity,tau_s,0.03,0.732452182509097,0.0029538821353644654,0.26188768518069405,0.005145195169372795,3
tau_s__0p05,sensitivity,tau_s,0.05,0.7336850830566827,0.0037793252025930977,0.2604694615042101,0.005746302959950832,3
tau_s__0p06,sensitivity,tau_s,0.06,0.73386365961256,0.0032694160821991817,0.26185995303893,0.004292739974543553,3
tau_s__0p1,sensitivity,tau_s,0.1,0.7374301293647473,0.0041866305753694615,0.26401251567391754,0.002627146620237863,3
tau_s__0p12,sensitivity,tau_s,0.12,0.7375539623226941,0.0047568095895590854,0.26214325365745417,0.005302818378688391,3
tau_s__0p15,sensitivity,tau_s,0.15,0.7380985722439212,0.004209571040232787,0.26385878978197047,0.0029861208491971146,3
tau_s__0p2,sensitivity,tau_s,0.2,0.7353313121592272,0.0014878741994071576,0.26443523070003144,0.005351745424957847,3
tau_s__0p25,sensitivity,tau_s,0.25,0.7396378018989824,0.004139982713536141,0.2661541408341243,0.003227886871549734,3
tau_s__0p3,sensitivity,tau_s,0.3,0.7389341349348827,0.0047973992317280395,0.26698395744672104,0.004158911446088937,3
